_id,CHR
966,12
973,7
974,6
975,5
976,2
977,6
978,3
979,7
980,12
981,9
982,6
983,4
984,7
985,9
986,1
987,2
988,6
989,2
990,3
991,12
993,1
994,3
995,1
996,9
997,12
998,8
999,3
1000,8
1001,8
1002,1
1003,9
1004,3
1005,3
1006,8
1007,10
1008,1
1009,4
1010,10
1011,6
1012,7
1013,7
1014,6
1015,12
1016,9
1018,3
1019,7
1020,4
1021,5
1022,1
1023,6
1024,10
1025,2
1026,10
1027,4
1028,11
1029,12
1030,12
1031,1
1032,6
1033,6
1035,6
1036,11
1037,4
1038,10
1039,11
1040,3
1041,9
1042,5
1043,1
1044,2
1045,7
1046,1
1047,1
1048,6
1049,7
1050,6
1051,10
1052,12
1054,8
1055,7
1056,4
1057,3
1058,8
1059,5
1060,4
1061,9
1062,8
1063,10
1064,7
1065,8
1066,1
1067,11
1068,11
1069,5
1070,7
1071,5
1072,1
1073,11
1074,10
1075,3
1076,5
1077,2
1078,3
1079,2
1080,2
1081,1
1082,12
1084,9
1089,9
1090,3
1091,6
1093,7
1094,11
1095,1
1096,2
1097,6
1098,4
1099,11
1100,7
1101,2
1102,3
1103,7
1104,7
1105,4
1106,1
1107,6
1108,2
1109,6
1110,8
1111,7
1112,1
1113,12
1114,9
1115,10
1116,2
1117,3
1119,8
1120,4
1121,6
1122,9
1123,10
1124,5
1125,1
1126,12
1127,7
1128,11
1129,7
1130,8
1131,7
1132,8
1133,4
1134,10
1135,1
1136,10
1137,10
1138,6
1139,5
1140,4
1141,9
1142,11
1143,12
1144,6
1145,10
1146,3
1148,8
1149,2
1150,12
1151,2
1152,1
1153,12
1154,3
1155,9
1156,12
1157,9
1158,6
1159,12
1160,12
1161,9
1162,9
1163,9
1164,3
1165,3
1166,6
1167,4
1168,3
1169,8
1170,7
1171,7
1172,6
1173,11
1174,1
1175,3
1176,12
1177,5
1178,1
1179,12
1180,1
1181,2
1182,2
1183,12
1185,7
1186,11
1187,7
1188,1
1189,1
1190,9
1191,4
1192,1
1193,7
1194,4
1195,4
1196,8
1197,4
1198,2
1199,11
1200,11
1201,1
1202,4
1203,10
1204,1
1205,1
1206,2
1207,2
1208,2
1209,11
1210,3
1211,3
1212,3
1213,4
1214,4
1215,6
1216,6
1217,6
1218,6
1219,7
1220,10
1221,11
1222,11
1223,3
1224,12
1225,12
1226,12
1227,5
1228,5
1229,6
1230,8
1231,1
1232,10
1233,2
1234,11
1235,2
1236,2
1237,12
1238,12
1239,3
1240,3
1241,3
1242,4
1243,5
1244,5
1245,6
1246,7
1247,8
1248,8
1249,8
1250,1
1251,1
1252,1
1253,1
1254,2
1255,11
1256,12
1257,3
1258,4
1259,4
1260,5
1261,6
1262,6
1263,6
1264,6
1265,7
1266,8
1267,1
1268,1
1269,10
1270,10
1271,2
1272,12
1273,3
1274,12
1275,4
1276,5
1277,1
1278,1
1279,1
1280,1
1281,10
1282,2
1283,11
1284,3
1285,4
1286,4
1287,5
1288,7
1289,8
1290,1
1291,1
1292,9
1293,1
1294,2
1295,10
1296,3
1297,4
1298,4
1299,6
1300,6
1301,9
1302,10
1303,11
1304,2
1305,3
1306,4
1307,4
1308,5
1309,1
1310,9
1311,1
1312,1
1313,10
1314,10
1315,10
1316,11
1317,2
1318,2
1319,3
1320,12
1321,3
1322,3
1323,4
1324,5
1325,7
1326,1
1327,9
1328,1
1329,10
1330,1
1331,1
1332,11
1333,2
1334,12
1335,12
1336,4
1337,4
1338,5
1339,6
1340,7
1341,8
1342,10
1343,10
1344,2
1345,12
1346,5
1347,5
1348,5
1349,6
1350,7
1351,8
1352,1
1353,9
1354,1
1355,10
1356,1
1357,10
1358,11
1359,3
1360,3
1361,4
1362,5
1363,9
1364,9
1365,1
1366,2
1367,2
1368,3
1369,12
1370,12
1371,12
1372,6
1373,7
1374,8
1375,9
1376,1
1377,1
1378,1
1379,1
1380,10
1381,11
1382,2
1383,3
1384,3
1385,5
1386,6
1387,6
1388,1
1389,1
1390,2
1391,11
1392,2
1393,3
1394,7
1395,7
1396,8
1397,9
1398,10
1399,1
1400,1
1401,2
1402,2
1403,2
1404,11
1405,11
1406,2
1407,12
1408,12
1409,12
1410,12
1411,6
1412,9
1413,1
1414,9
1415,9
1416,1
1417,1
1418,1
1419,2
1420,2
1421,3
1422,12
1423,3
1424,4
1425,6
1426,6
1427,8
1428,8
1429,1
1430,9
1431,9
1432,1
1433,1
1434,10
1435,2
1436,2
1437,2
1438,2
1439,11
1440,3
1441,12
1442,3
1443,3
1444,3
1445,4
1446,4
1447,5
1448,7
1449,1
1450,1
1451,12
1452,12
1453,12
1454,9
1455,10
1456,10
1457,2
1458,2
1459,12
1460,3
1461,3
1462,4
1463,5
1464,5
1465,6
1466,7
1467,1
1468,1
1469,9
1470,2
1471,11
1472,11
1473,11
1474,12
1475,12
1476,3
1477,3
1478,Un
1479,4
1480,4
1481,5
1482,5
1483,5
1484,5
1485,5
1486,6
1487,8
1488,1
1489,2
1490,2
1491,2
1492,12
1493,4
1494,4
1495,4
1496,5
1497,6
1498,7
1499,8
1500,8
1501,8
1502,9
1503,9
1504,1
1505,1
1506,10
1507,10
1508,2
1509,12
1510,12
1511,3
1512,4
1513,4
1514,6
1515,8
1516,8
1517,1
1518,9
1519,1
1520,9
1521,1
1522,9
1523,9
1524,1
1525,10
1526,10
1527,2
1528,11
1529,11
1530,11
1531,2
1532,11
1533,11
1534,12
1535,12
1536,5
1537,8
1538,8
1539,1
1540,1
1541,9
1542,11
1543,2
1544,3
1545,5
1546,6
1547,8
1548,1
1549,9
1550,9
1551,1
1552,10
1553,3
1554,4
1555,4
1556,5
1557,5
1558,5
1559,5
1560,8
1561,8
1562,8
1563,9
1564,1
1565,1
1566,1
1567,1
1568,11
1569,12
1570,12
1571,3
1572,3
1573,4
1574,4
1575,5
1576,6
1577,7
1578,1
1579,10
1580,2
1581,2
1582,2
1583,12
1584,4
1585,5
1586,6
1587,6
1588,8
1589,1
1590,9
1591,9
1592,1
1593,10
1594,4
1595,5
1596,5
1597,7
1598,9
1599,9
1600,1
1601,10
1602,10
1603,1
1604,11
1605,11
1606,11
1607,11
1608,11
1609,11
1610,3
1611,4
1612,5
1613,7
1614,8
1615,1
1616,9
1617,2
1618,10
1619,2
1620,11
1621,2
1622,2
1623,3
1624,4
1625,5
1626,6
1627,7
1628,8
1629,8
1630,8
1631,9
1632,9
1633,9
1634,9
1635,1
1636,1
1637,10
1638,12
1639,3
1640,4
1641,5
1642,6
1643,6
1644,7
1645,7
1646,8
1647,1
1648,1
1649,2
1650,11
1651,11
1652,3
1653,12
1654,3
1655,3
1656,5
1657,6
1658,7
1659,1
1660,1
1661,1
1662,10
1663,2
1664,3
1665,12
1666,3
1667,12
1668,3
1669,4
1670,4
1671,5
1672,9
1673,9
1674,9
1675,1
1676,1
1677,1
1678,1
1679,2
1680,2
1681,11
1682,11
1683,11
1684,3
1685,4
1686,5
1687,5
1688,5
1689,5
1690,6
1691,6
1692,7
1693,7
1694,8
1695,8
1696,1
1697,1
1698,10
1699,2
1700,2
1701,2
1702,12
1703,5
1704,6
1705,7
1706,8
1707,8
1708,1
1709,1
1710,1
1711,10
1712,2
1713,2
1714,12
1715,12
1716,3
1717,3
1718,3
1719,4
1720,4
1721,5
1722,6
1723,9
1724,1
1725,9
1726,10
1727,11
1728,12
1729,3
1730,4
1731,4
1732,5
1733,5
1734,6
1735,6
1736,7
1737,7
1738,8
1739,8
1740,1
1741,9
1742,1
1743,11
1744,2
1745,11
1746,3
1747,12
1748,3
1749,7
1750,8
1751,1
1752,1
1753,1
1754,1
1755,1
1756,10
1757,2
1758,2
1759,11
1760,2
1761,3
1762,12
1763,12
1764,4
1765,4
1766,6
1767,7
1768,8
1769,9
1770,1
1771,1
1772,1
1773,11
1774,2
1775,11
1776,12
1777,4
1778,5
1779,6
1780,6
1781,7
1782,7
1783,8
1784,1
1785,1
1786,1
1787,11
1788,11
1789,2
1790,2
1791,3
1792,12
1793,3
1794,3
1795,12
1796,6
1797,6
1798,9
1799,1
1800,10
1801,2
1802,10
1803,11
1804,3
1805,12
1806,3
1807,12
1808,12
1809,12
1810,3
1811,3
1812,4
1813,4
1814,5
1815,5
1816,5
1817,6
1818,6
1819,1
1820,1
1821,1
1822,10
1823,2
1824,2
1825,12
1826,4
1827,5
1828,6
1829,6
1830,9
1831,1
1832,9
1833,10
1834,2
1835,3
1836,5
1837,7
1838,8
1839,8
1840,2
1841,10
1842,3
1843,12
1844,4
1845,5
1846,6
1847,6
1848,8
1849,1
1850,9
1851,1
1852,1
1853,9
1854,1
1855,1
1856,10
1857,11
1858,12
1859,3
1860,3
1861,4
1862,4
1863,4
1864,5
1865,5
1866,5
1867,7
1868,7
1869,8
1870,8
1871,8
1872,9
1873,9
1874,1
1875,10
1876,2
1877,2
1878,11
1879,2
1880,3
1881,3
1882,4
1883,5
1884,6
1885,7
1886,7
1887,1
1888,2
1889,10
1890,11
1891,3
1892,5
1893,6
1894,1
1895,1
1896,1
1897,1
1898,10
1899,2
1900,11
1901,11
1902,12
1903,3
1904,3
1905,3
1906,4
1907,5
1908,7
1909,7
1910,7
1911,8
1912,8
1913,9
1914,1
