_id,GID
1,543501
2,543502
3,543506
4,543507
5,543508
6,543509
7,543512
8,543514
9,543515
10,543517
11,543518
12,543520
13,543521
14,543523
15,543524
16,543525
17,543530
18,543531
19,543532
20,543534
21,543535
22,543538
23,543539
24,543540
25,543541
26,543542
27,543543
28,543544
29,543545
30,543546
31,543548
32,543549
33,543550
34,543551
35,543552
36,543554
37,543555
38,543556
39,543557
40,543558
41,543559
42,543560
43,543561
44,543562
45,543563
46,543564
47,543565
48,543568
49,543571
50,543572
51,543575
52,543576
53,543577
54,543578
55,543579
56,543580
57,543581
58,543582
59,543584
60,543586
61,543587
62,543588
63,543589
64,543590
65,543592
66,543593
67,543594
68,543596
69,543597
70,543598
71,543599
72,543600
73,543602
74,543603
75,543604
76,543605
77,543606
78,543607
79,543608
80,543609
81,543610
82,543611
83,543612
84,543613
85,543614
86,543615
87,543616
88,543617
89,543618
90,543619
91,543620
92,543621
93,543622
94,543623
95,543624
96,543625
97,543626
98,543627
99,543628
100,543629
101,543630
102,543631
103,543632
104,543633
105,543635
106,543637
107,543638
108,543640
109,543642
110,543648
111,543649
112,543650
113,543651
114,543652
115,543653
116,543657
117,543658
118,543659
119,543660
120,543661
121,543662
122,543666
123,543667
124,543668
125,543669
126,543670
127,543674
128,543675
129,543676
130,543678
131,543679
132,543680
133,543681
134,543682
135,543685
136,543686
137,543687
138,543689
139,543693
140,543696
141,543697
142,543698
143,543699
144,543700
145,543703
146,543705
147,543707
148,543708
149,543709
150,543710
151,543713
152,543715
153,543718
154,543719
155,543720
156,543722
157,543723
158,543726
159,543727
160,543728
161,543729
162,543730
163,543731
164,543733
165,543737
166,543738
167,543739
168,543740
169,543741
170,543742
171,543744
172,543745
173,543746
174,543747
175,543748
176,543749
177,543750
178,543751
179,543752
180,543753
181,543759
182,543761
183,543762
184,543763
185,543766
186,543768
187,543769
188,543770
189,543771
190,543772
191,543774
192,543775
193,543777
194,543778
195,543781
196,543782
197,543784
198,543785
199,543790
200,543791
201,543792
202,543793
203,543794
204,543796
205,543799
206,543800
207,543801
208,543804
209,543805
210,543806
211,543807
212,543808
213,543809
214,543810
215,543812
216,543813
217,543814
218,543815
219,543816
220,543817
221,543819
222,543820
223,543821
224,543822
225,543824
226,543825
227,543826
228,543827
229,543828
230,543830
231,543831
232,543832
233,543834
234,543835
235,543837
236,543838
237,543839
238,543840
239,543841
240,543842
241,543843
242,543844
243,543845
244,543846
245,543847
246,543848
247,543849
248,543850
249,543852
250,543855
251,543858
252,543859
253,543860
254,543861
255,543862
256,543863
257,543865
258,543866
259,543867
260,543868
261,543869
262,543870
263,543871
264,543872
265,543873
266,543874
267,543875
268,543876
269,543877
270,543879
271,543880
272,543881
273,543883
274,543884
275,543885
276,543886
277,543887
278,543891
279,543892
280,543893
281,543894
282,543895
283,543896
284,543897
285,543898
286,543899
287,543900
288,543902
289,543903
290,543904
291,543905
292,543907
293,543908
294,543910
295,543911
296,543912
297,543913
298,543914
299,543915
300,543916
301,543917
302,543918
303,543920
304,543922
305,543923
306,543925
307,543926
308,543927
309,543928
310,543929
311,543931
312,543935
313,543936
314,543938
315,543940
316,543943
317,543944
318,543945
319,543946
320,543947
321,543948
322,543949
323,543951
324,543952
325,543953
326,543954
327,543955
328,543956
329,543958
330,543959
331,543960
332,543961
333,543962
334,543963
335,543964
336,543965
337,543966
338,543967
339,543968
340,543969
341,543970
342,543971
343,543972
344,543973
345,543974
346,543975
347,543976
348,543977
349,543978
350,543979
351,543980
352,543981
353,543982
354,543983
355,543985
356,543986
357,543987
358,543988
359,543989
360,543990
361,543991
362,543992
363,543993
364,543994
365,543995
366,543996
367,543997
368,543998
369,543999
370,544000
371,544001
372,544002
373,544003
374,544004
375,544006
376,544007
377,544008
378,544009
379,544010
380,544013
381,544014
382,544015
383,544016
384,544017
385,544018
386,544019
387,544020
388,544021
389,544022
390,544023
391,544024
392,544025
393,544026
394,544027
395,544028
396,544030
397,544031
398,544032
399,544033
400,544034
401,544035
402,544036
403,544037
404,544038
405,544039
406,544040
407,544041
408,544042
409,544043
410,544050
411,544051
412,544052
413,544053
414,544054
415,544055
416,544056
417,544057
418,544058
419,544059
420,544060
421,544061
422,544062
423,544063
424,544064
425,544065
426,544066
427,544067
428,544068
429,544069
430,544070
431,544071
432,544072
433,544073
434,544074
435,544075
436,544076
437,544077
438,544078
439,544079
440,544080
441,544081
442,544082
443,544083
444,544084
445,544085
446,544086
447,544087
448,544088
449,544089
450,544090
451,544091
452,544092
453,544093
454,544094
455,544095
456,544096
457,544097
458,544098
459,544099
460,544100
461,544101
462,544102
463,544104
464,544105
465,544107
466,544108
467,544109
468,544110
469,544111
470,544112
471,544113
472,544114
473,544115
474,544116
475,544117
476,544118
477,544120
478,544121
479,544122
480,544123
481,544124
482,544126
483,544127
484,544128
485,544130
486,544131
487,544135
488,544138
489,544139
490,544140
491,544141
492,544142
493,544144
494,544145
495,544146
496,544147
497,544148
498,544149
499,544150
500,544151
501,544152
502,544153
503,544154
504,544155
505,544156
506,544157
507,544158
508,544159
509,544160
510,544161
511,544162
512,544164
513,544166
514,544167
515,544168
516,544170
517,544171
518,544172
519,544173
520,544174
521,544175
522,544176
523,544177
524,544178
525,544179
526,544180
527,544181
528,544182
529,544183
530,544184
531,544185
532,544186
533,544188
534,544190
535,544191
536,544192
537,544193
538,544194
539,544195
540,544196
541,544197
542,544198
543,544199
544,544203
545,544204
546,544205
547,544207
548,544208
549,544209
550,544210
551,544211
552,544212
553,544213
554,544215
555,544216
556,544217
557,544219
558,544220
559,544223
560,544224
561,544225
562,544226
563,544227
564,544228
565,544230
566,544233
567,544234
568,544239
569,544240
570,544241
571,544242
572,544243
573,544245
574,544246
575,544249
576,544251
577,544253
578,544254
579,544255
580,544256
581,544257
582,544258
583,544259
584,544260
585,544261
586,544262
587,544263
588,544264
589,544265
590,544266
591,544269
592,544270
593,544271
594,544272
595,544273
596,544274
597,544275
598,544276
599,544277
600,544278
601,544279
602,544280
603,544282
604,544283
605,544284
606,544285
607,544286
608,544287
609,544288
610,544289
611,544290
612,544291
613,544292
614,544293
615,544294
616,544295
617,544296
618,544297
619,544298
620,544299
621,544301
622,544302
623,544306
624,544307
625,544308
626,544309
627,544310
628,544311
629,544312
630,544313
631,606298
632,606299
633,606302
634,606304
635,606305
636,606712
637,606713
638,778198
639,778199
640,778201
641,778203
642,778204
643,778206
644,778207
645,778208
646,778210
647,778211
648,778212
649,778213
650,778215
651,778218
652,778222
653,778223
654,778224
655,778227
656,778228
657,778229
658,778230
659,778233
660,778234
661,778235
662,778236
663,778237
664,778238
665,778240
666,778241
667,778242
668,778243
669,778245
670,778246
671,778247
672,778249
673,778250
674,778251
675,778252
676,778253
677,778254
678,778255
679,778256
680,778258
681,778259
682,778262
683,778263
684,778264
685,778265
686,778267
687,778268
688,778271
689,778272
690,778273
691,778274
692,778275
693,778276
694,778277
695,778278
696,778279
697,778280
698,778281
699,778282
700,778284
701,778285
702,778286
703,778287
704,778288
705,778289
706,778290
707,778291
708,778292
709,778293
710,778294
711,778295
712,778297
713,778298
714,778299
715,778300
716,778301
717,778305
718,778306
719,778307
720,778308
721,778309
722,778310
723,778311
724,778312
725,778315
726,778316
727,778317
728,778318
729,778319
730,778320
731,778322
732,778323
733,778324
734,778325
735,778327
736,778328
737,778329
738,778330
739,778332
740,778333
741,778334
742,778335
743,778336
744,778338
745,778339
746,778341
747,778342
748,778344
749,778346
750,778347
751,778348
752,778349
753,778351
754,778354
755,778355
756,778356
757,778357
758,778358
759,778359
760,778360
761,778364
762,780561
763,780562
764,780563
765,780564
766,3950375
767,3950376
768,3950378
769,3950379
770,3950380
771,3950381
772,3950382
773,3950383
774,3950384
775,3950385
776,3950386
777,3950387
778,3950388
779,3950389
780,3950390
781,3950391
782,3950392
783,3950393
784,3950394
785,3950395
786,3950396
787,3950397
788,3950398
789,3950399
790,3950400
791,3950401
792,3950402
793,3950404
794,3950405
795,3950406
796,3950407
797,3950408
798,3950409
799,3950411
800,3950412
801,3950413
802,3950420
803,3950421
804,3950424
805,3950425
806,3950426
807,3950427
808,3950428
809,3950429
810,3950450
811,3950451
812,3950452
813,3950453
814,3950455
815,3950456
816,3950457
817,3950458
818,3950459
819,3950460
820,3950461
821,3950462
822,3950463
823,3950464
824,3950465
825,3950466
826,3950468
827,3950469
828,3950470
829,3950471
830,3950472
831,3950473
832,3950474
833,3950475
834,3950476
835,3950477
836,3950478
837,3950479
838,3950480
839,3950481
840,3950482
841,3950483
842,3950484
843,3950485
844,3950486
845,3950487
846,16976776
847,16976779
848,16976780
849,16976784
850,100037488
851,100037489
852,100037490
853,100037491
854,100037492
855,100037493
856,100037495
857,100037497
858,100037498
859,100037499
860,100037500
861,100037501
862,100037502
863,100037503
864,100037505
865,100037506
866,100037507
867,100037508
868,100037510
869,100037511
870,100037512
871,100037513
872,100037726
873,100037727
874,100037728
875,100037729
876,100037732
877,100037733
878,100037734
879,100037736
880,100037737
881,100038313
882,100125889
883,100125891
884,100125896
885,100125897
886,100125898
887,100125899
888,100125900
889,100125901
890,100125902
891,100125903
892,100125904
893,100125905
894,100125906
895,100125907
