yourlist:M201510162IPPEIITE1	Entry
101258454	K4BUL9
101258465	K4C785
3950389,101258479	A0A0C5CEC8
3950389,101258479	Q2MI91
101258498	K4CX56
101258551	K4BNB4
101258567	K4CB98
101258577	K4CLQ8
101258578	K4CM51
101258583	K4ATM2
101258588	K4CQM3
101258596	K4CVQ3
101258599	K4CX03
101258610	K4D4Q9
101258614	K4D7X2
101258625	K4BEI9
101258633	K4DFZ5
101258642	K4BKB6
101258649	K4BT48
101258663	K4C8L7
101258669	K4CBM5
101258678	K4CJ92
101258693	K4CTX1
101258700	K4B279
101258710	K4D3C3
101258712	K4D3P7
101258724	K4DB00
101258763	K4C773
101258771	K4CGX8
101258774	Q08304
101258822	K4DAN6
101258837	K4BJF5
101258843	K4APQ8
101258854	K4BV02
101258855	K4BVK8
101258865	K4CA43
101258875	K4CFZ6
101258886	K4CPL4
101258898	K4CVQ4
101258916	K4D955
101258917	K4BCD3
101258925	K4BI86
101258926	K4BII9
101258944	K4BRR1
101258949	K4BVB3
101258960	K4C501
101258966	K4C7P5
101258969	K4CAZ0
101258970	K4CBM6
101258973	K4CDZ4
101258981	K4CNL1
101258986	K4CQZ3
101258987	K4CQB7
101258990	K4AWQ1
101258991	K4CTX5
101258992	K4CUG0
101258998	K4B2A1
101259002	K4B3I4
101259006	K4B4K8
101259012	K4BBS9
101259017	K4D6I0
101259023	K4DB01
101259047	K4C2R0
101259075	K4CVF0
101259076	K4CV30
101259078	K4AZA5
101259087	K4CX98
101259090	K4CZK4
101259098	K4D319
101259099	K4BDE5
101259103	K4D4D0
101259110	K4B8F2
101259112	K4D7X8
101259128	K4BGE5
101259162	K4C6M0
101259165	K4CBA1
101259170	K4CF86
101259181	K4CPX9
101259198	K4B118
101259199	K4B302
101259227	K4BKZ5
101259253	K4C5Y7
101259255	K4C920
101259258	K4C813
101259262	K4CAZ1
101259267	K4CDZ3
101259271	K4CJ95
101259273	K4CL98
101259307	K4D5G6
101259335	K4BY28
101259342	K4C5H0
101259349	Q41335
101259404	K4DAN9
101259409	K4DCV7
101259430	E1U2K4
101259435	K4BUV5
101259456	K4CF84
101259467	K4CM55
101259471	K4CN90
101259472	K4CMU0
101259476	K4CQL9
101259481	K4AXR0
101259503	K4B9B0
101259512	K4DB52
101259513	K4DC48
101259528	K4BP97
101259539	K4BWB4
101259540	K4BXD4
101259562	K4CNW8
101259563	K4CNK9
101259577	K4AYX9
101259584	K4B212
101259605	K4DA02
101259611	K4BE66
101259620	K4BJS4
101259622	K4BMZ3
101259623	K4BMN2
101259624	K4BMC4
101259629	K4BV04
101259630	K4BVX2
101259644	K4C725
101259654	K4CIA1
3950406,101259659	A0A0C5C9V4
3950406,101259659	Q2MI62
101259677	K4CY27
101259678	K4B1P3
101259682	K4B3D0
101259692	K4D402
101259696	K4D4D3
101259699	K4B9P4
101259708	K4DAP0
101259710	K4DBG9
101259712	K4DBT7
101259714	K4DCV8
101259725	K4DHM2
101259741	K4BVL1
101259744	K4BXR5
101259753	K4C361
101259759	K4CBA3
101259773	K4CLA0
101259786	K4CWZ8
101259800	K4BAQ6
101259813	K4DB53
101259817	K4BHG7
101259821	K4DHX7
101259844	K4C3I2
101259851	K4C8C5
101259856	K4CBN2
101259857	K4CBZ6
101259864	K4CJ96
101259869	K4AT74
101259874	K4CSI6
101259888	K4CXR3
101259889	K4B2P6
101259907	K4D7Y5
101259923	K4BJC9
101259928	K4BLP6
101259937	K4C107
101259946	Q9FPR1
101259978	K4AYI5
101259991	K4D1S9
101259992	K4B4Z4
101260000	K4D4D5
101260014	K4DBH4
101260019	K4DD94
101260038	K4BPK5
101260040	E0YCS9
101260053	K4C362
101260060	K4CBA5
101260072	K4CM57
101260101	K4B9A8
101260106	K4D996
101260110	K4DAM8
101260133	K4BVB8
101260146	K4C913
101260152	K4CBZ7
101260154	K4CGA3
101260158	K4CHZ3
101260161	K4CNW6
101260164	K4CN46
101260166	K4CQB3
101260175	K4AZA9
101260184	K4D101
101260189	K4D323
101260202	K4DA04
101260203	K4DAA4
101260216	K4BMZ1
101260223	K4BRP4
101260226	K4BVL2
101260232	K4C101
101260238	K4C807
101260241	K4C6L7
101260259	Q84XK7
101260273	K4B127
101260275	K4B1P5
101260281	K4CZJ5
101260288	K4D417
101260302	K4D9N9
101260312	K4DD97
101260321	K4DGT7
101260331	K4BQD6
101260333	K4BP93
101260334	K4BNI6
101260338	K4BT59
101260349	K4C568
101260355	K4CBA6
101260358	K4CF74
101260362	K4CIK5
101260392	K4D6K0
101260394	K4B9A7
101260398	K4B6W9
101260417	K4BKM5
101260429	K4BUM9
101260433	K4BWB9
101260443	K4C7N8
101260461	K4CNK5
101260479	K4B0R3
101260491	K4D324
101260498	K4D5G9
101260522	K4BMM7
101260533	K4BXR7
101260534	K4BY34
101260547	K4CAE6
101260550	K4CFY9
101260574	K4CVS0
101260575	K4B012
101260589	K4BDE0
101260594	K4D557
101260601	K4B798
101260607	K4DB56
101260610	K4DCI4
101260616	K4DEF2
101260623	K4DHL7
101260632	K4BP92
101260639	K4BYH8
101260670	K4CWZ3
101260684	K4BB34
101260688	K4B9A6
101260693	K4D998
101260698	K4BDW8
101260719	K4BT96
101260726	K4BX13
101260733	K4C5Z3
101260750	K4CNW3
101260752	K4CMW3
101260768	K4B0R5
101260769	K4CY23
101260788	K4B8Z7
101260794	K4BE73
101260819	K4C2Q2
101260830	P54773
101260836	K4CFY8
101260846	K4CP89
101260870	K4B0B7
101260882	K4CZJ2
101260902	K4DCI6
101260904	K4DCW3
101260909	K4DEF3
101260911	K4BHI7
101260925	K4BP91
101260928	K4BR09
101260932	A0A060PPU9
101260940	D2IGV3
101260941	K4C3U9
101260951	K4CC03
101260960	K4CPX2
101260974	K4CX43
101260977	K4B4N7
101260981	K4D3D5
101260990	K4B6W2
101260997	K4BDW9
101261000	K4BI77
101261004	K4DHX4
101261024	K4BVX7
101261079	K4B5T0
101261081	K4BDN5
101261084	K4D415
101261094	K4DAA8
101261110	K4BL60
101261121	K4C1S6
101261125	K4C9P0
101261141	K4CPK7
101261145	K4ASU2
101261148	K4CQY0
101261157	K4AY36
101261158	K4AY58
101261180	K4BDD8
101261206	K4DFU7
101261210	K4DHL5
101261213	K4BMB0
101261226	K4BVC2
101261230	K4BZ44
101261262	K4CQL4
101261271	K4B1P8
101261277	K4D262
101261286	K4D4E8
101261290	K4B7W7
101261297	K4DB08
101261299	K4BDX2
101261300	K4BE74
101261320	Q8GUQ5
101261324	K4BUN7
101261339	K4CBN7
101261348	K4CLB5
101261350	K4CNW2
101261356	K4CQA9
101261366	K4B0R8
101261379	K4BCS5
101261383	K4D5H8
101261386	K4B790
101261389	K4DA09
101261392	K4DBU5
101261404	K4BPX9
101261407	K4BT63
101261421	G5EKN3
101261444	K4CQY3
101261447	K4AX53
101261448	K4CTD1
101261449	K4CUG9
101261453	K4AY62
101261455	K4CVS4
101261478	K4D559
101261487	K4DB60
101261488	K4DBI3
101261533	K4CC05
101261537	K4CIL1
101261541	K4CM64
101261543	K4CPX0
101261547	K4ASR0
101261553	K4CWY8
101261554	K4CY19
101261602	E0D3E6
101261642	K4CK47
101261649	K4CQA8
101261656	K4AY37
101261658	D2IGV5
101261662	K4CX41
101261665	K4B3E1
101261676	K4BCE4
101261682	K4D660
101261689	K4DBU6
101261690	K4BFH6
101261693	K4DFN6
101261694	K4BI76
101261699	K4BNA4
101261721	K4C6L1
101261722	K4CCH5
101261737	K4CQY2
101261742	K4CUH0
101261747	K4AYJ3
101261749	K4AZP9
101261752	K4B133
101261753	K4CYE5
101261755	P13447
101261771	K4D561
101261779	K4D9P4
101261781	K4DAP8
101261788	K4DEI3
101261808	K4BRM3
101261810	K4BTY7
101261832	K4CB08
101261863	K4B4P5
101261880	K4D9A5
101261893	K4DCR7
101261898	K4DGU4
101261899	K4BMY3
101261907	K4BJZ7
101261911	K4BSA9
101261912	G5CV47
101261914	K4BUA1
101261916	K4BVM0
101261918	K4BWC2
101261918	K4BWC5
101261929	K4CAC1
101261945	K4CN83
101261947	K4CS24
101261950	K4CQA7
101261957	K4CV19
101261960	K4CW42
101261961	K4B0S1
101261962	K4CX82
101261973	K4B5T8
101261988	K4DBI6
101261994	K4DFM2
101262010	K4BXS4
101262034	K4CP81
101262041	K4AX51
101262054	K4CXQ6
101262055	K4B222
101262088	K4DF79
101262102	E0YCT0
101262108	K4BVD7
101262119	K4C4Y2
101262153	K4B3E2
101262159	K4D3D9
101262160	K4D3R1
101262166	K4BAP4
101262183	K4BEK3
101262198	K4AR15
101262200	K4BJZ4
101262221	K4C8R8
101262229	K4CHV3
101262234	K4CJC6
101262262	K4B3H9
101262267	K4B5T7
101262269	K4D331
101262276	G5EKP3
101262281	K4D9P5
101262307	K4BVM2
101262354	K4B018
101262359	K4CXQ0
101262360	K4B223
101262377	K4B786
101262382	K4DAQ0
101262400	K4DHW8
101262406	K4BQC4
101262414	K4BXE4
101262418	K4C2D3
101262421	K4C3J3
101262441	K4CLS8
101262445	K4CMX6
101262449	K4CRC7
101262460	K4B3E6
101262473	K4BAP3
101262475	K4B9N5
101262488	K4BDY1
101262489	K4BE78
101262497	K4BNA1
101262498	K4BMY1
101262501	K4BLN4
101262502	K4BKX7
101262517	K4BX18
101262530	K4CAD5
101262536	K4CDX5
101262546	K4CNV7
101262552	K4CQA5
101262566	K4CXG1
101262567	K4CX38
101262569	K4B400
101262574	K4B5U0
101262575	B1N661
101262577	K4D3V2
101262583	K4BAB7
101262584	K4D663
101262594	Q1PCD2
101262615	K4BXS7
101262626	K4C756
101262628	K4CAN8
101262630	K4CC09
101262636	K4CH68
101262646	K4ASS7
101262647	K4CRK0
101262648	K4CQK9
101262657	K4AY39
101262659	K4AY67
101262660	K4AZQ9
101262662	K4B138
101262668	K4B319
101262674	K4D2T9
101262685	K4D9A8
101262688	K4DAQ2
101262693	K4DDC7
101262700	K4DFY4
101262710	K4BPJ6
101262715	K4BTZ3
101262726	K4C5J9
101262737	K4CLS9
101262741	K4CNJ3
101262744	K4ATJ5
101262752	K4CWY3
101262762	K4D3E5
101262767	K4BAP1
101262769	K4B9N4
101262775	K4B7I2
101262778	K4DAB3
101262783	K4BEK5
101262784	K4BEN7
101262809	K4BUP4
101262823	K4CAE2
101262828	K4CFX5
101262830	K4CEU2
101262838	K4CLC7
101262847	Q9ZS62
101262853	K4CU14
101262862	K4B0S4
101262863	K4B1E1
101262866	K4CX37
101262875	B1N662
101262877	K4BDD2
101262878	K4D472
101262904	K4DHK8
101262907	K4BK99
101262920	K4C2L0
101262925	K4C9A8
101262929	K4CAN7
101262933	K4CFL9
101262956	K4AY40
101262978	K4D5V1
101262987	K4D9B3
101262991	K4DB19
101263020	K4BVE0
101263058	K4CWY2
101263072	K4BA13
101263073	K4B9N3
101263084	K4BE81
101263088	K4BH20
101263094	K4BMX2
101263110	K4BUP6
101263111	K4BVM4
101263113	K4BWD0
101263118	K4C1D7
101263135	K4CI07
101263154	K4CVD0
101263173	I6ZAC9
101263177	K4BBD1
101263186	Q674Z8
101263189	K4DDC8
101263197	K4DHK7
101263203	K4BNM9
101263208	K4BXT1
101263216	K4C3J6
101263222	K4C6X4
101263239	K4CRJ7
101263245	K4AXH0
101263246	K4AY41
101263250	K4B140
101263257	K4AZL3
101263261	K4D2U0
101263266	K4BB25
101263275	K4D8X6
101263285	K4BEP5
101263287	K4BEY9
101263315	K4BZ56
101263316	K4BZX7
101263319	K4C2D0
101263337	K4CLT1
101263342	K4CN28
101263344	K4ATJ2
101263349	K4AYK0
101263351	K4AZB7
101263358	K4B4R6
101263360	B1N665
101263368	K4D5I8
101263370	K4B9N2
101263378	K4BDY4
101263379	K4BE84
101263383	K4BH21
101263403	K4BS97
101263407	K4BUB2
101263411	K4BWD2
101263418	K4C8Z1
101263419	K4C8L6
101263420	K4C7M6
101263427	K4CC13
101263451	K4CQA2
101263456	K4CTF4
101263466	K4B0D2
101263473	K4CXF4
101263478	K4D335
101263479	K4BDD0
101263485	K4B6I0
101263491	K4DCY9
101263496	K4DF84
101263500	K4BJH6
101263506	K4BPX2
101263517	K4C0X6
543752,101245201,101262859,101263520	K4CUW3
101263532	K4CH66
101263536	K4CKR6
101263538	K4CN77
101263551	K4B234
101263563	K4BB24
101263564	K4BA11
101263568	K4B7V9
101263592	K4DHW5
101263627	K4CIM4
101263635	K4AT54
101263644	K4B2R8
101263651	B1N670
101263675	K4DDC9
101263678	K4BH28
101263688	K4DH82
101263689	K4BM63
101263706	P93216
101263715	K4C8Q5
101263717	K4C6J8
101263727	K4CFX2
101263729	K4CET9
101263742	K4CRJ5
101263743	K4CQK5
101263745	K4AW91
101263761	K4B0S8
101263764	K4CXP4
101263776	K4D4T7
101263783	K4D8X8
101263784	K4B6H9
101263792	K4BFI3
101263795	K4DF86
101263805	K4BPJ3
101263809	K4BV24
101263844	K4AY44
101263846	K4AYK4
101263862	K4BCR3
101263864	K4BA10
101263865	K4D6M3
101263871	K4D9C0
101263877	K4BEK9
101263888	K4DHW4
101263894	K4BJZ0
101263906	K4BXF0
101263915	K4C8B1
101263926	K4CPV7
101263943	K4B3G7
101263950	K4B524
101263952	K4D3F1
101263959	K4D4E9
101263967	K4B987
101263970	K4D804
101263980	K4BH32
101263985	K4BJ47
101264002	K4BUP9
101264008	Q9LLC7
101264011	K4C1D5
101264018	K4C8S1
101264020	K4C6J6
101264030	K4CFL6
101264031	K4CET8
101264039	K4CJE1
101264042	K4CLE4
101264059	K4CTF6
101264070	K4B0S9
101264071	G5CV45
101264074	K4B326
101264075	K4B3L5
101264084	K4B8Y6
101264102	K4BGK4
101264114	K4BR52
101264118	K4BXT4
101264133	K4C6W8
101264135	K4CCJ4
101264205	K4BP75
101264212	K4BUB5
101264225	K4C8B0
101264230	K4CF58
101264233	K4CHH7
101264258	K4B2S0
101264260	K4B3E8
101264261	K4B413
101264271	K4D3F4
101264273	K4D4A4
101264279	K4BBC4
101264283	K4BAB3
101264292	K4BE87
101264295	K4BFZ7
101264305	K4DH79
101264315	K4BRJ1
101264317	K4BTB0
101264320	K4BVM9
101264329	K4C2N1
101264331	K4C9A3
101264332	K4C8Y8
101264337	K4CAC6
101264369	K4AXS7
101264374	G5CV44
101264376	P10708
101264377	K4B2G7
101264388	K4D4T9
101264404	K4DBV7
101264409	K4DF88
101264416	K4BPJ2
101264420	K4BXF2
101264421	K4BXT6
101264445	K4CH73
101264454	K4CR74
101264465	K4B145
101264474	K4BDM1
101264480	K4D6M8
101264486	K4D9C2
101264492	K4BEL2
101264501	K4DHW2
101264523	Q9SWS6
101264529	K4C8A9
101264537	K4CI12
101264543	K4CMU4
101264548	K4CQK3
101264554	K4AZ04
101264564	K4B414
101264576	K4BDC5
101264582	K4D571
101264601	K4BHR9
101264604	K4BIL8
101264605	V5YM48
101264609	K4BML3
101264610	K4DH78
101264614	K4BKK4
101264624	K4BWD8
101264627	K4BZZ2
101264640	K4CAE5
101264649	K4CHT6
101264667	K4CTF8
101264676	G5CV43
101264677	K4CY07
101264679	K4B328
101264686	K4D341
101264708	K4DFV3
101264709	K4BJD1
101264714	K4BPI9
101264718	K4BV27
101264726	K4C390
101264738	K4CBQ0
101264743	K4CIM8
101264750	K4AT47
101264752	K4CR71
101264758	K4AY49
101264761	K4AZM4
101264777	K4BBC6
101264790	K4DAR1
101264794	K4DCK5
101264808	K4BLM3
101264813	K4BQB3
101264817	K4BU07
101264827	K4C1D2
101264833	K4C8A6
101264835	K4CBC9
101264843	K4CJL6
101264854	K4CQK2
101264882	K4BAM9
101264888	K4B7H5
101264909	K4DHJ3
101264913	K4BLB3
101264919	K4BNT3
101264931	K4C000
101264936	G5DGD4
101264938	K4C8Y6
101264942	K4CAN0
101264947	K4CG84
101264960	K4CNI4
101264966	K4CQ99
101264974	K4CVC3
101264981	K4B329
101264989	K4D4U3
101264998	K4B6G9
101265012	K4BJH8
101265013	K4BMW6
101265021	K4BV36
101265030	K4C392
101265046	K4CGU5
101265047	K4CI13
101265052	K4CN69
101265059	K4CR69
101265085	K4BD20
101265114	K4DHW0
101265202	K4BDZ3
101265224	K4BP72
101265227	K4BSN7
101265231	K4BVN4
101265236	K4BY59
101265248	K4CAM8
101265249	K4CAE9
101265253	K4CET1
101265259	K4CIM7
101265261	K4CJX3
101265278	K4CVC2
101265283	K4B0T8
101265292	P48022
101265296	K4B9L9
101265299	K4B869
101265312	K4DBW0
101265319	K4BMW4
101265327	K4BRI9
101265329	K4BU09
101265332	K4BXT9
101265337	K4C0W4
101265344	K4C736
101265345	K4C6V9
101265351	K4CI14
101265355	K4CN66
101265358	K4AT45
101265359	K4ASH8
101265360	K4CR68
101265376	K4D052
101265402	K4DAR4
101265404	K4BET4
101265430	K4BT78
101265432	K4BUB9
101265457	K4CHH2
101265459	K4CLF8
101265475	K4AY82
101265478	K4CVU1
101265479	K4AZC6
101265483	K4CXP0
101265487	K4B419
101265497	K4BBP0
101265499	K4BAM5
101265500	K4BAA5
101265520	K4DFV6
101265521	K4BN86
101265523	K4BML0
101265540	K4BWE4
101265552	K4C6J0
101265554	D2IGV4
101265555	K4CAF0
101265568	K4CNI1
101265579	K4CUI8
101265588	K4B0T9
101265590	K4B2G9
101265591	K4B330
101265594	K4B3I5
101265597	K4B5W8
101265599	K4D3F8
101265602	K4B9L8
101265614	K4DB75
101265626	K4BMW3
101265630	K4BJY3
101265640	K4BZ73
101265643	K4C0W3
101265645	K4C394
101265648	K4C5L7
101265654	K4CBQ3
101265666	K4AT44
101265685	E0YCS5
101265687	K4B541
101265688	K4D2I6
101265695	K4D4U9
101265699	K4D6P1
101265726	K4BT79
101265737	K4C4A4
101265753	K4CJM7
101265769	K4CVC0
101265773	K4B030
101265779	K4B418
101265795	K4B774
101265798	K4DAC8
101265817	K4BSN0
101265819	K4BVN6
101265829	K4C4W6
101265831	Q9SQG7
101265836	K4CAD8
101265858	K4CUI9
101265861	K4CUZ8
101265869	K4B2D0
101265872	K4CZ23
101265874	K4B3R3
101265877	K4B5W9
101265883	K4B981
101265895	K4DB78
101265910	K4BJY1
101265913	K4BPI3
101265919	K4BVC3
101265922	K4BZ79
101265930	K4C3K6
101265942	K4CI18
101265949	K4AT42
101265959	K4AWH4
101265962	K4AY83
101265978	K4D493
101265979	K4BD13
101265990	K4B891
101266012	K4BLB6
101266018	K4BNV1
101266082	K4D345
101266091	K4B7H1
101266113	K4BP62
101266122	K4BXU3
101266123	K4BY65
101266133	K4CAM2
101266140	K4CEC3
101266142	K4CH48
101266144	K4CIN1
101266162	K4AZP0
101266179	K4D5W3
101266180	K4BA02
101266193	K4DBK7
101266194	K4DC85
101266210	K4BPW0
101266219	K4BZ87
101266230	K4C6D7
101266241	K4CGU1
101266256	K4ASL5
101266271	K4CXG3
101266277	K4B546
101266287	K4BBN6
101266290	K4D5K1
101266312	K4BI58
101266321	K4BL78
101266336	K4C1C6
101266353	K4CJN2
101266363	K4CVB4
101266365	K4AZC9
101266369	K4CXN5
101266376	K4D346
101266391	K4BDZ7
101266393	K4DBW4
101266394	K4DCY2
101266399	K4BHQ8
101266402	K4BIM8
101266426	K4CAM3
101266435	K4CI20
101266436	K4CJH3
101266439	K4CN10
101266446	K4CQ88
101266470	K4D3G4
101266473	K4D5W6
101266482	K4D9R8
101266505	V5KX13
101266511	K4BZ76
101266523	K4C618
101266538	K4CGU0
101266565	K4B1S5
101266576	K4D2H8
101266579	K4BD16
101266583	K4BBB8
101266589	K4D6P5
101266592	K4B7H0
101266596	K4B6F8
101266641	K4C4W2
101266644	Q56R05
101266666	K4CU43
101266673	K4B0U1
101266682	K4D347
101266690	K4D831
101266697	K4BG16
101266709	K4BLX8
101266715	K4BRI2
101266717	K4BVZ9
101266720	K4BWT1
101266731	K4C8X8
101266753	K4CUJ5
101266762	K4CWM9
101266783	K4B9K9
101266786	K4B867
101266790	K4D9D7
101266792	K4D9R9
101266803	K4DGB0
101266809	K4BJX8
101266812	K4BPH9
101266827	K4C3A0
101266837	K4CB27
101266838	K4CBR3
101266842	K4CHS8
101266843	K4CHG7
101266872	K4CX95
101266881	K4D282
101266884	K4D425
101266902	Q9LLB0
101266904	K4DB34
101266906	K4BEM2
101266937	K4BVD6
101266942	K4C1C4
101266957	K4CH46
101266964	K4CNI0
101266968	K4CQ90
101266981	K4B260
101266987	K4D348
101267007	K4BIM1
101267016	K4BRH8
101267022	K4BXU5
101267023	K4BY69
101267030	K4C8X5
101267045	K4ATH0
101267059	K4AYM7
101267061	K4CWA6
101267065	K4B1F7
101267066	K4B2H5
101267068	K4D0T7
101267073	K4D2V6
101267077	K4D4V3
101267088	K4DA31
101267099	K4BJB2
101267103	K4BJX7
101267115	K4BZ89
101267118	K4C2X2
101267121	K4C3L2
101267153	K4CR64
101267154	K4CQJ3
101267174	K4D2K5
101267187	K4D5K4
101267195	K4B6F6
101267198	K4DAS2
101267211	K4DI54
101267230	K4BUC6
101267240	K4C4U9
101267248	K4CBE0
101267250	K4CF44
101267266	K4CVA7
101267271	K4B0U2
101267280	K4D349
101267296	K4BJ82
101267299	K4BMV7
101267326	K4CGJ5
101267359	K4D0T6
101267367	K4BCP2
101267377	K4D9E0
101267388	K4DFV5
101267393	K4BKJ5
101267397	K4BPH7
101267400	K4BS58
101267404	K4C030
101267415	K4C988
101267463	K4BDL0
101267464	K4D3T4
101267474	K4BA97
101267475	K4D6Q0
101267482	K4DAD9
101267492	K4BH71
101267504	K4BM77
101267520	K4BUR8
101267549	K4CN59
101267584	K4BG21
101267619	K4CC33
101267622	K4CGJ1
101267623	K4CG67
101267630	K4CLV5
101267634	K4ATY6
101267635	Q9ZS79
101267639	K4CQV0
101267646	K4CUY2
101244799,101267649	K4CRG8
101267653	K4CXD9
101267654	K4B2G6
101267671	K4B9J8
101267673	K4B861
101267682	K4DBL7
101267705	K4BXG6
101267706	K4BYP7
101267711	K4C3A2
101267716	K4CB30
101267717	K4CBR6
101267738	K4CTI9
101267744	K4CXN0
101267749	K4AZU3
101267752	K4B551
101267754	K4BDL3
101267755	K4D3T5
101267774	K4BE00
101267777	K4DDH3
101267789	K4BN74
101267804	K4BUR9
101267814	K4C621
101267828	K4CI23
101267837	K4CQ83
101267838	K4AW40
101267842	K4CVA6
101267845	K4CWA8
101267852	K4B3Q2
101267857	Q8S4R4
101267862	K4B7U0
101267868	K4DBW9
101267879	K4BMV5
101267890	K4BWU1
101267898	Q5GA60
101267903	K4C6U5
101267905	K4CAL8
101267921	K4AT31
101267922	K4CMU3
101267932	K4AXU2
101267943	K4D1G6
101267963	K4B6F2
101267980	K4BK81
101267985	K4BNU7
101267990	K4BYQ8
101268005	K4CB31
101268006	K4CBR7
101268021	K4CR60
101268031	P10967
101268045	K4BDK9
101268050	K4BBN1
101268060	K4B764
101268063	K4DAE2
101268068	K4BF84
101268082	K4BN73
101268083	K4DHU5
101268086	K4BLC8
101268091	K4BP55
101268103	K4BZ94
101268112	K4C8W9
101268113	K4C8R1
101268114	K4C885
101268115	K4C7W6
101268121	K4CES3
101268123	K4CH43
101268130	K4ATG2
101268134	K4CQ86
101268153	K4D1W6
101268165	K4BFK9
101268172	K4BMV2
101268196	K4CC35
101268200	K4CG65
101268227	K4CWN7
101268251	K4B7G4
101268256	K4DB95
101268258	K4DCM7
101268261	K4BG26
101268264	K4BJF3
101268273	K4BNU5
101268278	K4BXG8
101268280	K4C035
101268294	K4CHR9
101268298	K4CJR2
101268308	K4CQI8
101268312	K4CTJ2
101268319	K4CWV9
101268322	K4CXM8
101268329	K4AZU6
101268332	K4B5Z5
101268336	K4BBN0
101268337	P05349
101268341	K4B973
101268344	K4B7T9
101268350	K4DAS6
101268356	K4BF81
101268358	K4DDH5
101268362	K4DEP0
101268364	K4DFB1
101268375	K4BLW8
101268399	K4C4D0
101268416	K4CNT4
101268456	K4BIP4
101268460	K4BMV1
101268468	K4BVQ4
101268482	K4CC36
101268494	K4CPH3
101268512	K4CUX6
101268528	K4D3H7
101268541	K4B858
101268560	K4BKU7
101268569	K4BW31
101268571	K4BXH2
101268572	K4BYQ5
101268585	K4CBR9
101268623	E9NMH3
101268652	K4BF47
101268656	K4DEQ8
101268658	K4BI39
101268663	K4DI48
101268667	K4BLW6
101268685	K4C202
101268693	K4C882
101268694	K4C7W3
101268699	K4CDL0
101268704	K4CH40
101268723	A0A0H2UI79
101268760	K4BXV4
101268761	K4C036
101268765	K4C408
101268769	K4C6U2
101268776	K4CES2
101268781	K4CPT8
101268782	K4CPH2
101268785	K4AT27
101268823	K4BAZ6
101268836	K4B6E9
101268845	K4BG28
101268865	K4BYP6
101268872	K4C5N4
101268875	K4C8M5
101268893	K4CLH5
101268894	K4CMA7
543503	K4C7V6
543505	O64439
543510	A0A0C5AJS1
543511	K4BNX7
543511	Q9SLN9
543513	Q9MAZ6
543516	K4CBP9
543522	O04936
543526	Q9SQL0
543528	Q8GZV5
543529	Q8GZV4
543533	K4B4X4
543533	Q9ZTX4
543536	G8XSL1
543537	O22494
543553	Q9ZPP4
543567	K4D9A2
543574	O82575
543583	Q9ZSP9
543585	K4BAE6
543601	Q9M723
543639	K4BWH8
543643	Q9M5A8
543644	Q8GZU1
543645	Q9M510
543646	Q9M509
543647	K4CFW6
543654	Q9LKW3
543655	Q9LKW2
543656	Q9LKW1
543663	K4CIV5
543665	Q93XE2
543677	Q8W5A3
543683	Q94FU3
543684	Q94FU1
543688	Q93VS0
543690	Q94K24
543691	G8Z264
543691	K4CPD7
543695	Q84ZW2
543701	Q945F5
543702	K4BA96
543702	Q944T9
543704	Q8GZR6
543706	K4D649
543711	Q8GZF2
543712	Q8H6S9
543714	Q8GZE8
543717	Q8LKG9
543721	O49889
543724	O81999
543725	K4B0I5
543725	O65833
543732	O82692
543734	Q9ZRX6
543735	Q9SMD1
543736	Q9T0P6
543743	Q9XGI6
543755	K4D2W1
543756	K4BPV5
543758	K4B0B4
543760	Q9LEG3
543765	Q9LEG2
543773	Q93YG9
543776	Q7Y0R6
543779	Q8H0Q2
543780	Q9AVU9
543789	Q8RW34
543795	K4BWV8
543797	Q70AG5
543798	Q70AC6
543802	Q5NE21
543803	Q5NE20
543811	Q941R1
543818	K4B0V5
543818	Q9FT17
543823	Q8L5J1
543829	Q940D2
543833	Q8RY07
543836	Q8GVD1
543851	G8IRK0
543853	Q8GT67
543856	K4AXI1
543857	K4CUM7
543864	K4BH43
543878	Q7Y1P9
543882	Q84LQ3
543890	K4BCU7
543901	B2ZA20
543901	K4CN09
543901	Q6UUW0
543906	K4CNF7
543906	Q6U1L7
543909	Q5QJB4
543919	Q6R969
543924	K4BCG2
543924	Q6QLL5
543930	Q672Q7
543932	Q672Q3
543934	Q672P8
543937	Q66YT8
543939	Q6GUF3
543941	Q6DUX3
543942	Q6DUX2
543957	P49118
543984	P27161
544011	Q41339
544012	Q41340
544029	Q9ZRC0
544103	K4B2Z8
544106	K4CGI6
544125	O04972
544129	B2CPI9
544133	Q9S6Y1
544134	K4CWC5
544136	O22548
544143	Q40156
544163	O24023
544165	K4CN53
544169	K4CNY3
544187	Q42475
544200	Q9ZPP2
544201	Q8SA58
544202	K4BDA1
544206	Q8LP11
544221	P49215
544235	Q8GZF1
544236	Q8H6N3
544237	Q8GT30
544238	O24019
544244	Q93YH0
544247	Q8GT49
544248	Q8H0Q1
544250	Q5NE18
544252	Q94IP9
544267	Q672Q8
544268	Q672Q2
544281	Q96480
544300	Q43498
544303	Q9ST35
544304	K4CWR4
606300	Q94GA4
606301	Q94GA3
606303	Q7Y240
606709	Q7Y0R8
606711	Q9M464
778200	Q56UP7
778202	K4BCB3
778209	Q4W3B4
778214	Q4A1N1
778217	Q3SC85
778219	K4CQ73
778220	Q3SC80
778221	K4B6Y7
778221	Q3SC79
778225	B0CN79
778226	Q38MV1
