yourlist:M201510162IPPEIITE1	Entry
543951	K4C6Q6
543952	Q5I6E9
543953	P20076
543954	P05118
543958	P52884
543959	K4CEY0
543960	G8Z275
543961	P49037
543962	Q43710
543963	P47926
543964	A9Q2P8
543965	P93209
543966	Q42886
543967	K4BP76
543968	Q42882
543969	Q40140
543970	Q9STB2
543971	Q41350
543972	A8DUB1
543972	Q40157
543973	P08706
543974	P07179
543975	P14278
543976	K4DBF1
543977	K4AZ59
543978	P12372
543979	P12670
543980	P14903
543981	P14831
543982	P22180
543983	P25306
543985	P26981
543986	K4AT60
543986	Q01412
543988	A1Z0Z4
543988	P08196
543989	K4C1K6
543989	P27058
543990	P30264
543991	Q40161
543992	Q41215
543993	K4CUI0
543994	P38415
543995	Q42871
543996	Q42872
543997	P38416
543998	K4AXS2
543999	Q42875
544000	Q40128
544001	Q40129
544002	Q40131
544003	Q40134
544004	Q40135
544006	Q41328
544008	K4ASM0
544008	Q96573
544009	K4BN32
544010	Q41338
544013	P54928
544014	P54927
544015	K4D297
544015	P93541
544016	K4BN62
544016	Q43143
544017	Q10712
544018	Q41344
544019	Q42463
544020	O64397
544021	O64398
544022	Q42896
544023	O04897
544024	Q95661
544026	O24423
544027	O22312
544027	Q96488
544028	Q9S854
544031	P93220
544032	O04890
544033	K4CCQ6
544033	P93223
544034	P93224
544034	Q4A1N0
544035	O04359
544036	P93227
544037	P93228
544038	O82088
544039	K4AXM4
544040	P93231
544041	K4C1N6
544042	O04681
544043	O04682
544051	P05117
544052	E3VWN6
544052	P05116
544053	P17340
544056	P22240
544061	Q02021
544061	Q02022
544064	K4B4N0
544066	P27056
544068	P26300
544069	P32045
544070	K4CG20
544073	P28554
544073	Q3S1N6
544074	P28032
544076	A0A0B4N0Q9
544077	P29795
544078	Q00497
544079	P29766
544082	K4CP63
544083	K4B2M8
544084	Q43774
544085	P54772
544086	Q08451
544086	V5YN05
544087	Q08332
544088	K4D4P8
544089	P54776
544090	P14280
544092	K4D2M7
544093	K4B6I3
544095	P47921
544096	P46301
544097	Q40142
544098	P80022
544098	Q6A3R1
544099	A0A060PWC9
544100	Q43528
544101	Q43527
544104	A6YS01
544104	Q43503
544105	Q42437
544110	K4BS16
544111	K4CNY4
544112	Q9LEG6
544113	Q40174
544114	P93213
544115	P93214
544116	P93207
544117	P93204
544118	P93205
544120	K4D5R2
544122	K4BMH2
544123	P04284
544124	Q9ZR58
544126	O04059
544127	K4D3E8
544127	O24027
544128	K4B407
544131	K4D304
544135	A9LK40
544138	K4C962
544140	O65839
544141	Q9XGI9
544142	Q43511
544144	K4BVH5
544145	Q43495
544146	Q42878
544147	Q05540
544148	Q05538
544149	Q05539
544150	P51107
544151	Q42885
544152	K4D5G8
544153	P37216
544154	Q42884
544155	P43280
544156	P49972
544157	Q40159
544160	Q43719
544161	Q42891
544162	A5JV19
544164	O04935
544167	P48980
544167	Q546T5
544170	Q6YM50
544170	Q9FZ03
544171	K4CG25
544171	Q9FVD2
544173	Q9AUC3
544174	Q947G8
544175	K4D3B7
544176	Q41331
544177	Q9ZS45
544178	K4BSV8
544179	Q8GUC2
544180	Q6A1K9
544181	K4CP13
544181	Q9AWB7
544182	Q8LGR9
544183	K4BWI5
544184	Q5I6E8
544185	Q04108
544185	Q546T9
544188	Q96487
544190	K4BIM4
544192	Q43530
544193	P80196
544194	Q43524
544196	O04394
544198	Q9LWB0
544199	O48540
544203	Q7X7I9
544204	Q6QPK1
544205	Q9LS37
544207	Q8GZV3
544209	O22616
544210	O81136
544213	P93212
544215	Q9SWW0
544217	Q9XEJ6
544219	Q9XHD8
544220	Q9XH50
544225	Q9FUZ0
544226	K4BSM2
544227	Q9AXQ3
544228	Q94FV3
544230	Q93V91
544233	Q944N1
544234	Q71LX7
544239	Q9XG54
544240	Q9XGI3
544241	Q9LD97
544242	Q93X47
544243	Q8RW36
544245	A5CKE3
544246	Q8VWM5
544249	Q70G32
544251	K4CLQ5
544254	Q8RXB8
544255	K4BAX8
544256	Q8H279
544257	Q84LR0
544259	Q6X1D0
544262	Q6VUQ5
544263	Q6TFM2
544264	Q6ED34
544265	Q6RHX9
544266	Q6EAL9
544269	Q6E4P4
544270	Q6GUF1
544271	Q5UNS1
544272	Q40144
